date,currency,total_amount,total_cost,avg_price
2026-01-01,HYPE,124.03,4050.07799,32.65401910828026
2026-01-01,SOL,3.6350000000000002,449.62175,123.6923658872077
2026-01-01,TRX,2041.9,252.55831210000002,0.12368789465693718
2026-01-01,XMR,1.0044,150.228108,149.57
2026-01-01,USDC,19.99,19.995997,1.0003
2026-01-01,ETH,0.0032,9.781376,3056.68
2026-01-01,BTC,7e-05,4.682167,66888.1
