id,source,create_time,create_time_ms,currency_pair,base_currency,quote_currency,side,role,amount,price,order_id,fee,fee_currency
earn_HYPE_1766128335000,earn,1766128335,1766128335000,HYPE_USDT,HYPE,USDT,earn,earn,1.8e-05,0.0,,0.0,HYPE
earn_USDT_1766128821000,earn,1766128821,1766128821000,USDT_USDT,USDT,USDT,earn,earn,0.002751,0.0,,0.0,USDT
earn_HYPE_1766132074000,earn,1766132074,1766132074000,HYPE_USDT,HYPE,USDT,earn,earn,1.7e-05,0.0,,0.0,HYPE
earn_USDT_1766132141000,earn,1766132141,1766132141000,USDT_USDT,USDT,USDT,earn,earn,0.00273,0.0,,0.0,USDT
earn_HYPE_1766135667000,earn,1766135667,1766135667000,HYPE_USDT,HYPE,USDT,earn,earn,1.8e-05,0.0,,0.0,HYPE
earn_USDT_1766136279000,earn,1766136279,1766136279000,USDT_USDT,USDT,USDT,earn,earn,0.002772,0.0,,0.0,USDT
earn_USDT_1766139476000,earn,1766139476,1766139476000,USDT_USDT,USDT,USDT,earn,earn,0.002814,0.0,,0.0,USDT
earn_HYPE_1766139892000,earn,1766139892,1766139892000,HYPE_USDT,HYPE,USDT,earn,earn,1.7e-05,0.0,,0.0,HYPE
earn_HYPE_1766142347000,earn,1766142347,1766142347000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766142923000,earn,1766142923,1766142923000,USDT_USDT,USDT,USDT,earn,earn,0.002773,0.0,,0.0,USDT
earn_HYPE_1766146329000,earn,1766146329,1766146329000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766146944000,earn,1766146944,1766146944000,USDT_USDT,USDT,USDT,earn,earn,0.002793,0.0,,0.0,USDT
earn_USDT_1766149914000,earn,1766149914,1766149914000,USDT_USDT,USDT,USDT,earn,earn,0.002793,0.0,,0.0,USDT
earn_HYPE_1766150738000,earn,1766150738,1766150738000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_HYPE_1766154005000,earn,1766154005,1766154005000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766154058000,earn,1766154058,1766154058000,USDT_USDT,USDT,USDT,earn,earn,0.002814,0.0,,0.0,USDT
earn_HYPE_1766156770000,earn,1766156770,1766156770000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
earn_USDT_1766157295000,earn,1766157295,1766157295000,USDT_USDT,USDT,USDT,earn,earn,0.002815,0.0,,0.0,USDT
earn_USDT_1766160000794,earn,1766160000,1766160000794,USDT_USDT,USDT,USDT,earn,earn,50.0,0.0,,0.0,USDT
spot_15869116,spot,1766160001,1766160001568,HYPE_USDT,HYPE,USDT,buy,taker,2.09,23.88,980904770167.0,0.00418,HYPE
earn_HYPE_1766160001584,earn,1766160001,1766160001584,HYPE_USDT,HYPE,USDT,earn,earn,2.08582,0.0,,0.0,HYPE
earn_HYPE_1766161171000,earn,1766161171,1766161171000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
earn_USDT_1766161541000,earn,1766161541,1766161541000,USDT_USDT,USDT,USDT,earn,earn,0.002747,0.0,,0.0,USDT
earn_USDT_1766164488000,earn,1766164488,1766164488000,USDT_USDT,USDT,USDT,earn,earn,0.002727,0.0,,0.0,USDT
earn_HYPE_1766164695000,earn,1766164695,1766164695000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
earn_HYPE_1766168086000,earn,1766168086,1766168086000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
earn_USDT_1766168532000,earn,1766168532,1766168532000,USDT_USDT,USDT,USDT,earn,earn,0.002726,0.0,,0.0,USDT
earn_HYPE_1766171836000,earn,1766171836,1766171836000,HYPE_USDT,HYPE,USDT,earn,earn,1.5e-05,0.0,,0.0,HYPE
earn_USDT_1766172147000,earn,1766172147,1766172147000,USDT_USDT,USDT,USDT,earn,earn,0.002748,0.0,,0.0,USDT
earn_HYPE_1766175087000,earn,1766175087,1766175087000,HYPE_USDT,HYPE,USDT,earn,earn,1.4e-05,0.0,,0.0,HYPE
earn_USDT_1766175345000,earn,1766175345,1766175345000,USDT_USDT,USDT,USDT,earn,earn,0.002768,0.0,,0.0,USDT
